iter	Passed	Remaining
0	138	138202
1	139	69470
2	140	46588
3	141	35115
4	142	28259
5	142	23687
6	143	20421
7	144	17972
8	145	16047
9	146	14510
10	147	13257
11	148	12203
12	149	11314
13	149	10552
14	150	9896
15	151	9317
16	152	8813
17	153	8361
18	154	7954
19	155	7601
20	156	7278
21	156	6977
22	157	6700
23	158	6454
24	159	6226
25	160	6012
26	161	5818
27	162	5640
28	163	5464
29	163	5302
30	164	5151
31	165	5007
32	166	4872
33	167	4752
34	168	4632
35	168	4524
36	169	4424
37	170	4321
38	171	4229
39	172	4140
40	173	4052
41	174	3971
42	175	3899
43	176	3829
44	177	3757
45	177	3686
46	178	3620
47	179	3556
48	180	3501
49	181	3447
50	182	3396
51	183	3346
52	184	3297
53	185	3252
54	186	3207
55	187	3165
56	188	3121
57	189	3075
58	190	3037
59	191	2999
60	192	2963
61	193	2924
62	194	2886
63	195	2853
64	195	2817
65	196	2781
66	197	2745
67	197	2706
68	198	2677
69	199	2646
70	199	2616
71	200	2587
72	201	2561
73	202	2533
74	203	2505
75	203	2478
76	204	2453
77	205	2427
78	206	2401
79	206	2377
80	207	2353
81	208	2330
82	208	2309
83	209	2287
84	210	2263
85	210	2241
86	211	2218
87	212	2198
88	213	2180
89	213	2161
90	214	2142
91	215	2125
92	216	2108
93	216	2091
94	217	2073
95	218	2056
96	219	2039
97	219	2022
98	220	2006
99	221	1990
100	222	1977
101	222	1960
102	223	1946
103	224	1932
104	225	1918
105	225	1905
106	226	1892
107	227	1879
108	228	1866
109	229	1853
110	229	1839
111	230	1826
112	231	1813
113	231	1800
114	232	1788
115	232	1774
116	233	1763
117	234	1751
118	234	1738
119	235	1727
120	236	1716
121	236	1705
122	237	1692
123	238	1682
124	238	1671
125	239	1661
126	240	1650
127	240	1639
128	241	1628
129	241	1619
130	242	1609
131	243	1599
132	243	1589
133	244	1580
134	245	1571
135	245	1562
136	246	1553
137	247	1543
138	247	1534
139	248	1526
140	249	1517
141	249	1508
